Date,Open,High,Low,Close,Volume
22/12/2020,"1,081.85","1,084.23","1,077.06","1,083.45",756.11K
21/12/2020,"1,071.62","1,081.60","1,070.86","1,081.08",713.66K
18/12/2020,"1,055.75","1,068.56","1,055.75","1,067.46",623.64K
17/12/2020,"1,065.85","1,065.85","1,051.42","1,051.77",667.89K
16/12/2020,"1,058.34","1,066.99","1,057.21","1,066.99",591.57K
15/12/2020,"1,062.02","1,067.45","1,052.01","1,055.27",675.18K
14/12/2020,"1,048.97","1,064.09","1,048.97","1,064.09",583.59K
11/12/2020,"1,033.19","1,045.96","1,030.06","1,045.96",463.77K
10/12/2020,"1,041.65","1,044.10","1,030.91","1,030.91",626.45K
9/12/2020,"1,029.26","1,039.55","1,029.26","1,039.13",586.05K
8/12/2020,"1,029.98","1,032.58","1,025.63","1,029.26",527.67K
7/12/2020,"1,024.34","1,030.41","1,022.14","1,029.98",520.34K
4/12/2020,"1,019.80","1,025.17","1,018.67","1,021.49",553.59K
3/12/2020,"1,016.73","1,020.35","1,014.06","1,019.80",518.91K
2/12/2020,"1,008.77","1,015.86","1,007.91","1,014.32",684.53K
1/12/2020,988.71,"1,008.87",988.71,"1,008.87",583.31K
30/11/2020,"1,011.82","1,012.50","1,002.61","1,003.08",532.93K
27/11/2020,"1,006.68","1,010.22","1,004.00","1,010.22",446.44K
26/11/2020,999.24,"1,005.97",994.91,"1,005.97",493.56K
25/11/2020,"1,000.39","1,002.31",996.8,999.94,475.74K
24/11/2020,996.55,997.99,984.92,995.76,550.07K
23/11/2020,991.87,995.9,985.38,994.19,489.69K
20/11/2020,984.71,990,980.72,990,501.05K
19/11/2020,975.32,983.26,974.33,983.26,500.12K
18/11/2020,969.48,974.3,966.32,973.53,478.68K
17/11/2020,955.52,968.9,953.22,968.9,400.96K
16/11/2020,970.11,972.98,950.5,950.79,518.93K
13/11/2020,959.56,966.29,959.13,966.29,457.83K
12/11/2020,953.97,959.28,953.62,959.28,343.91K
11/11/2020,954.46,956.65,947.61,952.22,376.51K
10/11/2020,962.68,963.47,951.9,951.9,456.75K
9/11/2020,942.15,951.99,942.15,951.99,393.20K
6/11/2020,939.73,941.2,934.63,938.29,268.23K
5/11/2020,940.32,945.51,937.75,937.75,304.33K
4/11/2020,935.41,943.56,933.86,939.76,350.87K
3/11/2020,936.73,937.57,932.18,935.41,318.70K
2/11/2020,926.09,933.68,924.14,933.68,297.60K
30/10/2020,925.41,926.32,911.2,925.47,312.75K
29/10/2020,916.49,925.84,914.33,919.08,436.13K
28/10/2020,942.82,946.91,921.05,921.05,456.06K
27/10/2020,950.8,954.72,946.28,946.47,455.85K
26/10/2020,967.52,970.15,950.8,950.8,428.25K
23/10/2020,953.45,961.26,953.14,961.26,452.49K
22/10/2020,938.06,949.9,933.78,949.9,365.12K
21/10/2020,947.16,948.2,939,939.03,412.65K
20/10/2020,941,944.54,937.32,944.42,444.33K
19/10/2020,945.01,946.29,941.92,943.69,389.47K
